lat,lon,d,t
37.51264956,127.10582141,2021/05/02,09:08:39
37.51257167,127.10573275,2021/05/02,09:08:43
37.51247558,127.10565995,2021/05/02,09:08:47
37.51241875,127.10555462,2021/05/02,09:08:51
37.51236661,127.10543889,2021/05/02,09:08:55
37.51230757,127.10532898,2021/05/02,09:08:59
37.51225098,127.10522932,2021/05/02,09:09:03
37.5121817,127.10511683,2021/05/02,09:09:08
37.51211291,127.10501543,2021/05/02,09:09:12
37.5120519,127.10491805,2021/05/02,09:09:16
37.51199843,127.10479869,2021/05/02,09:09:21
37.51194414,127.10470364,2021/05/02,09:09:25
37.51189324,127.10459477,2021/05/02,09:09:29
37.51184204,127.10446684,2021/05/02,09:09:33
37.51181159,127.10434255,2021/05/02,09:09:37
37.51178816,127.10421786,2021/05/02,09:09:41
37.51175826,127.10410887,2021/05/02,09:09:45
37.51172784,127.10400194,2021/05/02,09:09:49
37.51169552,127.10388156,2021/05/02,09:09:53
37.51167211,127.10376805,2021/05/02,09:09:57
37.51163306,127.10364545,2021/05/02,09:10:01
37.51158794,127.10351627,2021/05/02,09:10:06
37.51155494,127.10340162,2021/05/02,09:10:10
37.51151003,127.10328823,2021/05/02,09:10:14
37.51143618,127.10318194,2021/05/02,09:10:18
37.51136982,127.1030907,2021/05/02,09:10:22
37.51129166,127.10300589,2021/05/02,09:10:26
37.51119628,127.10293175,2021/05/02,09:10:30
37.51110331,127.10288009,2021/05/02,09:10:34
37.51100272,127.10285164,2021/05/02,09:10:38
37.51090144,127.10283541,2021/05/02,09:10:42
37.51080687,127.10284533,2021/05/02,09:10:46
37.51070701,127.1028707,2021/05/02,09:10:50
37.51061879,127.10292135,2021/05/02,09:10:54
37.51053149,127.10299297,2021/05/02,09:10:58
37.51044865,127.10306375,2021/05/02,09:11:02
37.5103574,127.10314064,2021/05/02,09:11:06
37.51026687,127.10320236,2021/05/02,09:11:10
37.51016815,127.10319099,2021/05/02,09:11:14
37.51009959,127.10309913,2021/05/02,09:11:21
37.51002269,127.10299487,2021/05/02,09:11:28
37.50991431,127.10290021,2021/05/02,09:11:31
37.50981015,127.10275877,2021/05/02,09:11:33
37.50973227,127.10260774,2021/05/02,09:11:35
37.50977009,127.10250382,2021/05/02,09:11:39
37.50984224,127.10242551,2021/05/02,09:11:43
37.50992993,127.10234563,2021/05/02,09:11:47
37.51000869,127.10228151,2021/05/02,09:11:51
37.51009332,127.1022013,2021/05/02,09:11:55
37.51018018,127.10210064,2021/05/02,09:12:00
37.51024039,127.10200161,2021/05/02,09:12:04
37.51028654,127.10188147,2021/05/02,09:12:08
37.51030515,127.10174683,2021/05/02,09:12:12
37.51030184,127.10161008,2021/05/02,09:12:16
37.51029312,127.10149262,2021/05/02,09:12:20
37.51024924,127.10136677,2021/05/02,09:12:24
37.51021167,127.10123648,2021/05/02,09:12:28
37.5101681,127.10109667,2021/05/02,09:12:32
37.51013485,127.10095103,2021/05/02,09:12:36
37.51011349,127.10084061,2021/05/02,09:12:39
37.5100743,127.10071026,2021/05/02,09:12:43
37.51005059,127.10059151,2021/05/02,09:12:46
37.51000347,127.10047221,2021/05/02,09:12:49
37.50996402,127.10034192,2021/05/02,09:12:52
37.50992637,127.10022585,2021/05/02,09:12:55
37.50987594,127.10011739,2021/05/02,09:12:58
37.50984357,127.10000324,2021/05/02,09:13:01
37.50979401,127.09990102,2021/05/02,09:13:04
37.50974525,127.09979447,2021/05/02,09:13:07
37.50970201,127.0996887,2021/05/02,09:13:10
37.50965114,127.09955666,2021/05/02,09:13:14
37.50958034,127.09943694,2021/05/02,09:13:18
37.50952555,127.09933184,2021/05/02,09:13:21
37.50946373,127.09920183,2021/05/02,09:13:24
37.50940871,127.09909129,2021/05/02,09:13:27
37.50934284,127.09898756,2021/05/02,09:13:30
37.50928687,127.09888836,2021/05/02,09:13:33
37.50924498,127.09877087,2021/05/02,09:13:36
37.50917565,127.09865639,2021/05/02,09:13:40
37.50911638,127.09855947,2021/05/02,09:13:43
37.50905999,127.09846309,2021/05/02,09:13:46
37.50898243,127.09834123,2021/05/02,09:13:50
37.50890944,127.09826407,2021/05/02,09:13:53
37.50883032,127.09818452,2021/05/02,09:13:56
37.50873497,127.09811721,2021/05/02,09:14:00
37.50862723,127.09804598,2021/05/02,09:14:04
37.50852896,127.09801737,2021/05/02,09:14:07
37.50843363,127.09798497,2021/05/02,09:14:10
37.50833831,127.09797455,2021/05/02,09:14:13
37.50823743,127.09796343,2021/05/02,09:14:16
37.50812989,127.09794582,2021/05/02,09:14:19
37.50802555,127.09793826,2021/05/02,09:14:22
37.50792242,127.09791711,2021/05/02,09:14:25
37.50782542,127.09789722,2021/05/02,09:14:28
37.50772794,127.09789831,2021/05/02,09:14:31
37.50760427,127.09788904,2021/05/02,09:14:35
37.50748992,127.0978827,2021/05/02,09:14:39
37.50739808,127.09789373,2021/05/02,09:14:42
37.50729517,127.09796057,2021/05/02,09:14:45
37.50721138,127.09805421,2021/05/02,09:14:48
37.50715436,127.09817135,2021/05/02,09:14:51
37.50709668,127.09827986,2021/05/02,09:14:54
37.50706722,127.09839679,2021/05/02,09:14:57
37.50705529,127.09850935,2021/05/02,09:15:00
37.50703526,127.09866208,2021/05/02,09:15:04
37.50703414,127.09878018,2021/05/02,09:15:07
37.50702701,127.09890283,2021/05/02,09:15:10
37.50703983,127.09901889,2021/05/02,09:15:13
37.50704373,127.09914265,2021/05/02,09:15:16
37.50705801,127.09927661,2021/05/02,09:15:19
37.50708633,127.09942172,2021/05/02,09:15:22
37.5070986,127.09953846,2021/05/02,09:15:25
37.50712678,127.09965318,2021/05/02,09:15:28
37.50717537,127.09978186,2021/05/02,09:15:32
37.50719303,127.09992827,2021/05/02,09:15:36
37.5072209,127.10005068,2021/05/02,09:15:40
37.5072917,127.10017112,2021/05/02,09:15:43
37.50732527,127.1002823,2021/05/02,09:15:46
37.50736984,127.10039297,2021/05/02,09:15:49
37.50741329,127.10052546,2021/05/02,09:15:53
37.50746628,127.10062822,2021/05/02,09:15:56
37.50752671,127.10074891,2021/05/02,09:15:59
37.50757147,127.10086626,2021/05/02,09:16:02
37.50762091,127.10100392,2021/05/02,09:16:05
37.5076719,127.10111303,2021/05/02,09:16:08
37.50771333,127.10123985,2021/05/02,09:16:12
37.50776953,127.10133524,2021/05/02,09:16:15
37.50782463,127.10145356,2021/05/02,09:16:19
37.50787819,127.10157837,2021/05/02,09:16:23
37.50791653,127.10168077,2021/05/02,09:16:26
37.5079636,127.10179058,2021/05/02,09:16:29
37.50802496,127.1019153,2021/05/02,09:16:33
37.50809167,127.10200944,2021/05/02,09:16:36
37.50815786,127.10209982,2021/05/02,09:16:39
37.50823254,127.10218545,2021/05/02,09:16:42
37.50828975,127.1022831,2021/05/02,09:16:45
37.50834875,127.10238281,2021/05/02,09:16:48
37.50841678,127.10248612,2021/05/02,09:16:51
37.50848447,127.10257312,2021/05/02,09:16:54
37.50856997,127.10267731,2021/05/02,09:16:57
37.50864006,127.10279678,2021/05/02,09:17:01
37.50873068,127.10287173,2021/05/02,09:17:05
37.50884175,127.10292621,2021/05/02,09:17:09
37.50896348,127.10295462,2021/05/02,09:17:13
37.50905669,127.10296401,2021/05/02,09:17:16
37.50915346,127.10294844,2021/05/02,09:17:19
37.50925001,127.10290566,2021/05/02,09:17:22
37.50934318,127.10285539,2021/05/02,09:17:25
37.50942701,127.1027748,2021/05/02,09:17:29
37.50952338,127.10274057,2021/05/02,09:17:32
37.50961786,127.10277531,2021/05/02,09:17:36
37.50970598,127.10284507,2021/05/02,09:17:39
37.50978269,127.10290756,2021/05/02,09:17:42
37.50987621,127.10294633,2021/05/02,09:17:45
37.50996281,127.10311732,2021/05/02,09:17:49
37.50998649,127.10326205,2021/05/02,09:17:53
37.50998914,127.10339121,2021/05/02,09:17:55
37.50993445,127.10351939,2021/05/02,09:17:58
37.50985798,127.10358349,2021/05/02,09:18:01
37.50977048,127.10366488,2021/05/02,09:18:05
37.50968403,127.10375448,2021/05/02,09:18:09
37.50962916,127.10384639,2021/05/02,09:18:12
37.5095824,127.10398085,2021/05/02,09:18:16
37.50956631,127.10410995,2021/05/02,09:18:19
37.50957581,127.10423801,2021/05/02,09:18:22
37.50960859,127.1043858,2021/05/02,09:18:26
37.50967584,127.10448787,2021/05/02,09:18:29
37.50973263,127.1046047,2021/05/02,09:18:32
37.50979499,127.10469604,2021/05/02,09:18:35
37.50986467,127.10478268,2021/05/02,09:18:38
37.50993515,127.10488136,2021/05/02,09:18:41
37.49932115,127.13139243,2021/05/02,17:50:23
37.50054354,127.13206891,2021/05/02,19:41:25
37.49931653,127.13139273,2021/05/02,23:54:52
37.49932106,127.13139244,2021/05/02,23:55:17
37.49931821,127.13139775,2021/05/02,23:56:32
