x,y,d,t
37.49860188,127.13118291,2021/05/19,16:16:03
37.49859352,127.1311938,2021/05/19,16:16:05
37.49858528,127.13119849,2021/05/19,16:16:06
37.49859005,127.13120992,2021/05/19,16:16:09
37.49859005,127.13119815,2021/05/19,16:16:11
37.49857838,127.13147081,2021/05/19,16:36:36
37.49878248,127.13157599,2021/05/19,17:16:44
37.4987944,127.13149678,2021/05/19,17:16:52
37.49878046,127.13148346,2021/05/19,17:16:53
37.49878434,127.13147047,2021/05/19,17:16:54
37.49879835,127.13145928,2021/05/19,17:16:55
37.49880025,127.13144594,2021/05/19,17:16:56
37.49864598,127.13130976,2021/05/19,18:27:30
37.49858321,127.1311985,2021/05/19,18:27:35
37.49864758,127.13123422,2021/05/19,18:27:35
37.49868892,127.13127781,2021/05/19,18:27:36
37.49873816,127.13133919,2021/05/19,18:27:36
37.49877384,127.13138243,2021/05/19,18:27:36
37.5006324,127.13948314,2021/05/19,19:15:11
37.50089765,127.13937466,2021/05/19,19:15:31
37.50083997,127.13936631,2021/05/19,19:15:32
37.50125838,127.13852885,2021/05/19,19:17:13
37.50109576,127.13838979,2021/05/19,19:17:24
37.50127425,127.13748765,2021/05/19,19:19:32
37.50127743,127.13750645,2021/05/19,19:19:33
37.50126277,127.13748974,2021/05/19,19:19:35
37.50126911,127.13750381,2021/05/19,19:19:37
37.50125853,127.13750538,2021/05/19,19:19:43
37.50123824,127.13749434,2021/05/19,19:19:46
37.50122915,127.13748782,2021/05/19,19:19:47
37.50121359,127.13747906,2021/05/19,19:19:49
37.50120407,127.13747745,2021/05/19,19:19:50
37.50119436,127.13746902,2021/05/19,19:19:51
37.50118148,127.13745552,2021/05/19,19:19:52
37.50117169,127.13744581,2021/05/19,19:19:53
37.50116211,127.13743973,2021/05/19,19:19:54
37.5011539,127.1374344,2021/05/19,19:19:55
37.50114468,127.13742282,2021/05/19,19:19:57
37.5011353,127.13742357,2021/05/19,19:20:05
37.50112678,127.13742824,2021/05/19,19:20:11
37.50112205,127.13741807,2021/05/19,19:20:16
37.50111453,127.13740186,2021/05/19,19:20:20
37.50111303,127.13738921,2021/05/19,19:20:22
37.5011176,127.13736813,2021/05/19,19:20:24
37.50112737,127.13735433,2021/05/19,19:20:25
37.50113302,127.13733395,2021/05/19,19:20:26
37.50113675,127.13731253,2021/05/19,19:20:27
37.50113992,127.1372986,2021/05/19,19:20:28
37.50113698,127.13727568,2021/05/19,19:20:29
37.50113421,127.13724567,2021/05/19,19:20:30
37.50113354,127.13722191,2021/05/19,19:20:31
37.50112216,127.13718672,2021/05/19,19:20:32
37.50110593,127.13715155,2021/05/19,19:20:33
37.50108542,127.13712081,2021/05/19,19:20:34
37.50106599,127.13709596,2021/05/19,19:20:35
37.50104691,127.1370769,2021/05/19,19:20:36
37.50102479,127.13705468,2021/05/19,19:20:37
37.50100351,127.137036,2021/05/19,19:20:38
37.50098192,127.13701481,2021/05/19,19:20:39
37.50096656,127.13699512,2021/05/19,19:20:40
37.5009479,127.13696813,2021/05/19,19:20:41
37.50093345,127.1369439,2021/05/19,19:20:42
37.50091706,127.13692437,2021/05/19,19:20:43
37.50089716,127.13690303,2021/05/19,19:20:44
37.50087555,127.13688035,2021/05/19,19:20:45
37.50086004,127.1368632,2021/05/19,19:20:46
37.50083824,127.13684268,2021/05/19,19:20:47
37.50081682,127.13682325,2021/05/19,19:20:48
37.50079786,127.13679868,2021/05/19,19:20:49
37.50078242,127.13677479,2021/05/19,19:20:50
37.50076996,127.13675078,2021/05/19,19:20:51
37.50076055,127.13673169,2021/05/19,19:20:52
37.50075438,127.13671442,2021/05/19,19:20:53
37.50074769,127.13670547,2021/05/19,19:20:54
37.50073409,127.13669382,2021/05/19,19:20:55
37.50072602,127.1366854,2021/05/19,19:20:56
37.50070929,127.13667064,2021/05/19,19:20:57
37.50069265,127.13665774,2021/05/19,19:20:58
37.50067168,127.13664415,2021/05/19,19:20:59
37.50065314,127.1366279,2021/05/19,19:21:00
37.50063701,127.13660696,2021/05/19,19:21:01
37.5006231,127.13658541,2021/05/19,19:21:02
37.50060624,127.13656536,2021/05/19,19:21:03
37.50058717,127.13654388,2021/05/19,19:21:04
37.50057437,127.13652426,2021/05/19,19:21:05
37.50056043,127.13649873,2021/05/19,19:21:06
37.50054202,127.13648043,2021/05/19,19:21:07
37.50052271,127.13646025,2021/05/19,19:21:08
37.50050117,127.13644019,2021/05/19,19:21:09
37.50048074,127.1364221,2021/05/19,19:21:10
37.50046299,127.1363996,2021/05/19,19:21:11
37.50043843,127.13637894,2021/05/19,19:21:12
37.50041,127.13635868,2021/05/19,19:21:13
37.50038484,127.13633544,2021/05/19,19:21:14
37.50036586,127.13631164,2021/05/19,19:21:15
37.50035265,127.13628918,2021/05/19,19:21:16
37.50033977,127.13626139,2021/05/19,19:21:17
37.50033764,127.13624322,2021/05/19,19:21:18
37.50034635,127.13622257,2021/05/19,19:21:19
37.50035475,127.13620877,2021/05/19,19:21:20
37.50036214,127.13618971,2021/05/19,19:21:21
37.50036986,127.13617619,2021/05/19,19:21:22
37.50036531,127.13614559,2021/05/19,19:21:25
37.50035495,127.136127,2021/05/19,19:21:26
37.50034479,127.13611159,2021/05/19,19:21:27
37.50033586,127.1361006,2021/05/19,19:21:28
37.50032447,127.13609176,2021/05/19,19:21:29
37.50030729,127.13607924,2021/05/19,19:21:30
37.50029514,127.13607145,2021/05/19,19:21:31
37.50028331,127.13606305,2021/05/19,19:21:32
37.50027061,127.13605804,2021/05/19,19:21:33
37.50025594,127.13605701,2021/05/19,19:21:34
37.50024049,127.13605335,2021/05/19,19:21:35
37.50022508,127.13605403,2021/05/19,19:21:36
37.50021014,127.13605678,2021/05/19,19:21:37
37.50019888,127.13605869,2021/05/19,19:21:38
37.50018171,127.1360594,2021/05/19,19:21:39
37.50016993,127.13605897,2021/05/19,19:21:40
37.50015546,127.13605319,2021/05/19,19:21:41
37.50014073,127.13603947,2021/05/19,19:21:42
37.50013692,127.13602777,2021/05/19,19:21:43
37.50013259,127.13600987,2021/05/19,19:21:44
37.50012613,127.1359913,2021/05/19,19:21:45
37.50011178,127.13597072,2021/05/19,19:21:46
37.50009758,127.13595579,2021/05/19,19:21:47
37.50008773,127.13594088,2021/05/19,19:21:48
37.50007382,127.13592098,2021/05/19,19:21:49
37.50006105,127.13590441,2021/05/19,19:21:50
37.50004828,127.13588486,2021/05/19,19:21:51
37.50003903,127.13587051,2021/05/19,19:21:52
37.50002045,127.13585402,2021/05/19,19:21:53
37.50000305,127.1358436,2021/05/19,19:21:54
37.49998526,127.1358368,2021/05/19,19:21:55
37.49996568,127.13582282,2021/05/19,19:21:56
37.49995131,127.13580601,2021/05/19,19:21:57
37.49993933,127.13578583,2021/05/19,19:21:58
37.49992162,127.13576319,2021/05/19,19:21:59
37.4999063,127.1357466,2021/05/19,19:22:00
37.49989108,127.13573424,2021/05/19,19:22:01
37.49987538,127.1357213,2021/05/19,19:22:02
37.49985082,127.13566204,2021/05/19,19:22:05
37.49983483,127.13564562,2021/05/19,19:22:06
37.49982111,127.13562805,2021/05/19,19:22:07
37.4998077,127.13561455,2021/05/19,19:22:08
37.49979155,127.13559864,2021/05/19,19:22:09
37.49977387,127.13558165,2021/05/19,19:22:10
37.49975763,127.1355675,2021/05/19,19:22:11
37.49974494,127.13555335,2021/05/19,19:22:12
37.49973375,127.13554099,2021/05/19,19:22:13
37.49972189,127.13553119,2021/05/19,19:22:14
37.49971041,127.13551735,2021/05/19,19:22:15
37.49969486,127.13550765,2021/05/19,19:22:16
37.49967948,127.13549728,2021/05/19,19:22:17
37.49966889,127.13548285,2021/05/19,19:22:18
37.49965964,127.13547162,2021/05/19,19:22:19
37.49964662,127.13545737,2021/05/19,19:22:20
37.49963707,127.13544577,2021/05/19,19:22:21
37.49962746,127.13543199,2021/05/19,19:22:22
37.49961888,127.1354166,2021/05/19,19:22:23
37.49961706,127.13540263,2021/05/19,19:22:24
37.49962044,127.13538705,2021/05/19,19:22:25
37.49962488,127.13537068,2021/05/19,19:22:26
37.49963111,127.13535706,2021/05/19,19:22:27
37.49964092,127.1353474,2021/05/19,19:22:29
37.49964461,127.13533574,2021/05/19,19:22:33
37.49964669,127.13532167,2021/05/19,19:22:41
37.4996434,127.13533519,2021/05/19,19:22:49
37.49962582,127.13533299,2021/05/19,19:23:31
37.49959015,127.13533249,2021/05/19,19:23:32
37.49956377,127.13532862,2021/05/19,19:23:33
37.49953585,127.13530986,2021/05/19,19:23:34
37.49950844,127.13528606,2021/05/19,19:23:35
37.49948417,127.13525358,2021/05/19,19:23:36
37.49946389,127.13522468,2021/05/19,19:23:37
37.49944676,127.13519788,2021/05/19,19:23:38
37.49942811,127.13516288,2021/05/19,19:23:39
37.4994075,127.13513542,2021/05/19,19:23:40
37.49938119,127.13510248,2021/05/19,19:23:41
37.49934711,127.13503831,2021/05/19,19:23:42
37.49932829,127.13499853,2021/05/19,19:23:43
37.49929743,127.13496765,2021/05/19,19:23:44
37.49927831,127.13494776,2021/05/19,19:23:45
37.49925039,127.13492165,2021/05/19,19:23:46
37.4992164,127.13488857,2021/05/19,19:23:47
37.49918671,127.1348533,2021/05/19,19:23:48
37.49913832,127.13480587,2021/05/19,19:23:49
37.4991046,127.13479153,2021/05/19,19:23:50
37.49908189,127.13475263,2021/05/19,19:23:51
37.49905317,127.1347244,2021/05/19,19:23:52
37.49902307,127.13470222,2021/05/19,19:23:53
37.49900288,127.13468193,2021/05/19,19:23:54
37.49897886,127.13465302,2021/05/19,19:23:55
37.4989638,127.13461549,2021/05/19,19:23:56
37.49894719,127.13457489,2021/05/19,19:23:57
37.49892567,127.13453927,2021/05/19,19:23:58
37.49890322,127.13450567,2021/05/19,19:23:59
37.49888229,127.13447718,2021/05/19,19:24:00
37.49886342,127.1344476,2021/05/19,19:24:01
37.49884533,127.13441709,2021/05/19,19:24:02
37.49882376,127.13438814,2021/05/19,19:24:03
37.49880812,127.13436616,2021/05/19,19:24:04
37.49884902,127.134379,2021/05/19,19:24:05
37.49884134,127.13436787,2021/05/19,19:24:07
37.49883428,127.13435505,2021/05/19,19:24:08
37.4988129,127.13434981,2021/05/19,19:24:12
37.49879953,127.13434504,2021/05/19,19:24:13
37.49879028,127.13433542,2021/05/19,19:24:14
37.49878313,127.1343236,2021/05/19,19:24:15
37.49877854,127.13431068,2021/05/19,19:24:16
37.49877146,127.13429589,2021/05/19,19:24:18
37.49876168,127.13428294,2021/05/19,19:24:21
37.49874461,127.13426784,2021/05/19,19:24:23
37.49873477,127.13426154,2021/05/19,19:24:24
37.4987247,127.13425901,2021/05/19,19:24:26
37.49871746,127.13425132,2021/05/19,19:24:29
37.49870824,127.13425085,2021/05/19,19:25:03
37.49870072,127.13425851,2021/05/19,19:25:17
37.49869115,127.134282,2021/05/19,19:25:19
37.49868865,127.13429459,2021/05/19,19:25:20
37.49868165,127.13431001,2021/05/19,19:25:21
37.49866995,127.13433113,2021/05/19,19:25:22
37.4986593,127.13435115,2021/05/19,19:25:23
37.49864769,127.13437789,2021/05/19,19:25:24
37.49863482,127.13440215,2021/05/19,19:25:26
37.49862136,127.13441821,2021/05/19,19:25:27
37.49860541,127.13443538,2021/05/19,19:25:28
37.49859581,127.13444204,2021/05/19,19:25:29
37.49858437,127.13444694,2021/05/19,19:25:30
37.49857159,127.13445619,2021/05/19,19:25:31
37.49855992,127.13446839,2021/05/19,19:25:32
37.49854909,127.13447794,2021/05/19,19:25:33
37.49853552,127.13449082,2021/05/19,19:25:36
37.49852963,127.13450575,2021/05/19,19:25:37
37.49852229,127.13451846,2021/05/19,19:25:38
37.4985093,127.13452448,2021/05/19,19:25:39
37.49849445,127.13452947,2021/05/19,19:25:40
37.49848028,127.13453455,2021/05/19,19:25:41
37.49847088,127.13453861,2021/05/19,19:25:42
37.49846067,127.13454462,2021/05/19,19:25:45
37.49844998,127.13455107,2021/05/19,19:25:47
37.49843836,127.13455033,2021/05/19,19:25:50
37.49843269,127.13456114,2021/05/19,19:25:52
37.49844075,127.13456783,2021/05/19,19:26:00
37.49844137,127.13455385,2021/05/19,19:26:05
37.49840508,127.13437255,2021/05/19,19:26:33
37.49844628,127.13455732,2021/05/19,19:26:37
37.49849757,127.13439388,2021/05/19,19:26:45
37.49844626,127.13455726,2021/05/19,19:26:47
37.49843677,127.13454838,2021/05/19,19:26:49
37.49842818,127.13453836,2021/05/19,19:26:50
37.49844161,127.13455306,2021/05/19,19:26:51
37.49845169,127.13456458,2021/05/19,19:26:52
37.49845949,127.13457094,2021/05/19,19:26:54
37.49846948,127.13456606,2021/05/19,19:26:59
37.49846973,127.13454571,2021/05/19,19:27:01
37.49847056,127.13453178,2021/05/19,19:27:02
37.49845732,127.13450383,2021/05/19,19:27:03
37.49843748,127.13447806,2021/05/19,19:27:04
37.49841433,127.13444828,2021/05/19,19:27:05
37.49839267,127.13442353,2021/05/19,19:27:06
37.49836758,127.13440639,2021/05/19,19:27:07
37.49834437,127.13439063,2021/05/19,19:27:08
37.49832838,127.13437383,2021/05/19,19:27:09
37.4983039,127.13433354,2021/05/19,19:27:10
37.49827822,127.1343301,2021/05/19,19:27:11
37.49824916,127.13432202,2021/05/19,19:27:12
37.49822505,127.13435056,2021/05/19,19:27:13
37.49820693,127.13435983,2021/05/19,19:27:14
37.49819433,127.13437022,2021/05/19,19:27:15
37.49818782,127.13438281,2021/05/19,19:27:16
37.49818335,127.13440078,2021/05/19,19:27:17
37.4981783,127.13442126,2021/05/19,19:27:18
37.49817477,127.13443486,2021/05/19,19:27:19
37.49818537,127.13443868,2021/05/19,19:27:24
37.49817654,127.13444601,2021/05/19,19:27:28
37.49817851,127.13445785,2021/05/19,19:27:35
37.4981908,127.13445085,2021/05/19,19:27:42
37.49818394,127.1344435,2021/05/19,19:27:50
37.4982325,127.13445551,2021/05/19,19:28:29
37.49820656,127.13451467,2021/05/19,19:30:26
37.49818182,127.13446188,2021/05/19,19:30:57
37.49819318,127.13445094,2021/05/19,19:31:08
37.49821541,127.13443612,2021/05/19,19:33:31
37.4982103,127.13444656,2021/05/19,19:33:34
37.49821224,127.13443385,2021/05/19,19:33:40
37.49822259,127.13442987,2021/05/19,19:33:43
37.49821375,127.13442551,2021/05/19,19:33:46
