x,y,d,t
35.78157430,128.48039770,2024/09/17,10:59:27
35.78163420,128.48038990,2024/09/17,10:59:32
35.78195370,128.48037910,2024/09/17,10:59:37
35.78218780,128.48042160,2024/09/17,10:59:42
35.78227120,128.48044950,2024/09/17,10:59:46
35.78231930,128.48050530,2024/09/17,10:59:52
35.78231950,128.48061340,2024/09/17,10:59:57
35.78231920,128.48061620,2024/09/17,11:00:01
35.78232870,128.48063970,2024/09/17,11:00:07
35.78227960,128.48070410,2024/09/17,11:00:12
35.78227030,128.48073600,2024/09/17,11:00:17
35.78226830,128.48071500,2024/09/17,11:00:23
35.78226630,128.48075270,2024/09/17,11:00:28
35.78230360,128.48082090,2024/09/17,11:00:32
35.78235970,128.48088890,2024/09/17,11:00:37
35.78236350,128.48096450,2024/09/17,11:00:42
35.78236480,128.48101550,2024/09/17,11:00:47
35.78236330,128.48108650,2024/09/17,11:00:52
35.78237020,128.48114030,2024/09/17,11:00:57
35.78237930,128.48122510,2024/09/17,11:01:02
35.78238830,128.48126330,2024/09/17,11:01:06
35.78239810,128.48135230,2024/09/17,11:01:12
35.78238360,128.48139840,2024/09/17,11:01:17
35.78237390,128.48146470,2024/09/17,11:01:22
35.78232110,128.48148890,2024/09/17,11:01:27
35.78229200,128.48150960,2024/09/17,11:01:31
35.78224550,128.48148920,2024/09/17,11:01:36
35.78219820,128.48150120,2024/09/17,11:01:41
35.78215700,128.48146160,2024/09/17,11:01:46
35.78212150,128.48147670,2024/09/17,11:01:51
35.78218350,128.48162190,2024/09/17,11:01:56
35.78220990,128.48169150,2024/09/17,11:02:01
35.78228820,128.48174770,2024/09/17,11:02:06
35.78232760,128.48180630,2024/09/17,11:02:11
35.78239000,128.48185490,2024/09/17,11:02:16
35.78238680,128.48191290,2024/09/17,11:02:21
35.78236190,128.48196970,2024/09/17,11:02:27
35.78240630,128.48188820,2024/09/17,11:02:32
35.78240680,128.48189900,2024/09/17,11:02:37
35.78236180,128.48186630,2024/09/17,11:02:42
35.78236090,128.48189300,2024/09/17,11:02:49
35.78237920,128.48194680,2024/09/17,11:02:53
35.78236890,128.48198760,2024/09/17,11:02:58
35.78229130,128.48199140,2024/09/17,11:03:03
35.78224600,128.48201710,2024/09/17,11:03:08
35.78223830,128.48207320,2024/09/17,11:03:15
35.78242990,128.48179010,2024/09/17,11:08:06
35.78262510,128.48264440,2024/09/17,11:08:12
35.78262380,128.48265690,2024/09/17,11:08:18
35.78262030,128.48266300,2024/09/17,11:08:22
35.78261890,128.48265410,2024/09/17,11:08:27
