x,y,d,t
37.51268976,127.10742102,2021/06/05,17:04:12
37.51275797,127.1073861,2021/06/05,17:04:13
37.51278438,127.10737487,2021/06/05,17:04:14
37.51283461,127.10735145,2021/06/05,17:04:16
37.51285764,127.10733962,2021/06/05,17:04:17
37.51288131,127.10732652,2021/06/05,17:04:18
37.51291819,127.1073031,2021/06/05,17:04:20
37.51295205,127.10727906,2021/06/05,17:04:22
37.51298625,127.10724789,2021/06/05,17:04:24
37.51300555,127.10723052,2021/06/05,17:04:25
37.51302259,127.10721107,2021/06/05,17:04:26
37.51304701,127.10716795,2021/06/05,17:04:28
37.51305442,127.10714419,2021/06/05,17:04:29
37.51306915,127.10709591,2021/06/05,17:04:31
37.51307653,127.10707387,2021/06/05,17:04:32
37.51308474,127.1070536,2021/06/05,17:04:33
37.5130945,127.10701178,2021/06/05,17:04:35
37.513098,127.10696457,2021/06/05,17:04:37
37.5131,127.10693849,2021/06/05,17:04:38
37.51310296,127.10688746,2021/06/05,17:04:40
37.51310557,127.10686099,2021/06/05,17:04:41
37.51310912,127.10683663,2021/06/05,17:04:42
37.51311552,127.10678497,2021/06/05,17:04:44
37.51311278,127.10673205,2021/06/05,17:04:46
37.51309909,127.10667628,2021/06/05,17:04:48
37.51309121,127.10664809,2021/06/05,17:04:49
37.51307251,127.10659023,2021/06/05,17:04:51
37.51304995,127.10653197,2021/06/05,17:04:53
37.51302749,127.10648183,2021/06/05,17:04:55
37.51301688,127.10646105,2021/06/05,17:04:56
37.512993,127.10641959,2021/06/05,17:04:58
37.51296737,127.10637757,2021/06/05,17:05:00
37.51295683,127.10635927,2021/06/05,17:05:02
37.51294438,127.10633859,2021/06/05,17:05:03
37.51291641,127.10628731,2021/06/05,17:05:04
37.51289065,127.10624466,2021/06/05,17:05:06
37.51287119,127.10620315,2021/06/05,17:05:08
37.51284458,127.10614989,2021/06/05,17:05:10
37.51282997,127.10611933,2021/06/05,17:05:11
37.51279444,127.10605791,2021/06/05,17:05:13
37.51276303,127.10601204,2021/06/05,17:05:15
37.51274718,127.10598876,2021/06/05,17:05:16
37.51271595,127.10593931,2021/06/05,17:05:18
37.51270135,127.10591306,2021/06/05,17:05:19
37.51267512,127.10586202,2021/06/05,17:05:21
37.51264944,127.10581692,2021/06/05,17:05:23
37.51261981,127.10577195,2021/06/05,17:05:25
37.51258452,127.10571936,2021/06/05,17:05:27
37.51255025,127.10567408,2021/06/05,17:05:29
37.51253366,127.10565392,2021/06/05,17:05:30
37.51249792,127.10560023,2021/06/05,17:05:32
37.51248201,127.10557316,2021/06/05,17:05:33
37.51246772,127.1055486,2021/06/05,17:05:34
37.51245409,127.10552482,2021/06/05,17:05:35
37.51242323,127.10547557,2021/06/05,17:05:37
37.51238627,127.10542668,2021/06/05,17:05:39
37.51236398,127.10539646,2021/06/05,17:05:41
37.51233555,127.10535573,2021/06/05,17:05:43
37.51232171,127.10533337,2021/06/05,17:05:44
37.51230855,127.10530907,2021/06/05,17:05:45
37.51228258,127.10525662,2021/06/05,17:05:47
37.51225317,127.10520981,2021/06/05,17:05:49
37.51223906,127.10518656,2021/06/05,17:05:50
37.51221145,127.10513736,2021/06/05,17:05:52
37.51219692,127.10511193,2021/06/05,17:05:53
37.51216696,127.1050676,2021/06/05,17:05:55
37.51213635,127.10502582,2021/06/05,17:05:57
