x,y,d,t
37.49932551,127.13139816,2021/05/27,19:28:07
37.49931541,127.13141458,2021/05/27,19:28:16
37.49931971,127.13140409,2021/05/27,20:49:04
37.49835974,127.13381131,2021/05/27,21:07:23
37.49930642,127.13150559,2021/05/27,21:21:26
37.49931566,127.13149394,2021/05/27,21:21:34
37.4993238,127.13139542,2021/05/27,22:38:30
37.49933399,127.13137865,2021/05/27,22:38:34
37.49932421,127.13139525,2021/05/27,22:38:40
37.49931854,127.13140368,2021/05/27,23:12:13
37.49931309,127.13141338,2021/05/27,23:12:19
37.49930285,127.13142675,2021/05/27,23:12:20
37.49932985,127.13139468,2021/05/27,23:12:23
37.49931894,127.13140501,2021/05/27,23:12:24
37.49930994,127.13141742,2021/05/27,23:12:25
37.49932892,127.13140586,2021/05/27,23:12:28
37.4993105,127.13139741,2021/05/27,23:12:29
37.49934449,127.13139442,2021/05/27,23:12:30
37.49931647,127.13142745,2021/05/27,23:12:31
37.49930813,127.13143546,2021/05/27,23:12:32
37.49932993,127.13139598,2021/05/27,23:12:33
37.49933886,127.1314161,2021/05/27,23:12:34
37.49932503,127.13140782,2021/05/27,23:12:36
37.49935913,127.13140098,2021/05/27,23:12:38
37.49932288,127.13139522,2021/05/27,23:12:39
37.49928324,127.13144864,2021/05/27,23:13:38
37.49931193,127.13138463,2021/05/27,23:13:39
37.49932375,127.13139658,2021/05/27,23:13:40
37.49929857,127.13140941,2021/05/27,23:18:25
37.49932057,127.13139742,2021/05/27,23:19:41
