x,y,d,t
37.49906914,127.13127716,2021/05/29,17:00:46
37.49907824,127.13127969,2021/05/29,17:00:48
37.49906805,127.13127164,2021/05/29,17:00:56
37.49907172,127.13128792,2021/05/29,17:00:58
37.49907133,127.13130445,2021/05/29,17:00:59
37.49906117,127.13132769,2021/05/29,17:01:00
37.499044,127.13134633,2021/05/29,17:01:01
37.49902085,127.13136881,2021/05/29,17:01:02
37.49900256,127.1313891,2021/05/29,17:01:03
37.49898844,127.13140861,2021/05/29,17:01:04
37.49897428,127.13142237,2021/05/29,17:01:05
37.49895888,127.13143221,2021/05/29,17:01:06
37.49894376,127.13143748,2021/05/29,17:01:07
37.49892622,127.13143374,2021/05/29,17:01:08
37.49890602,127.1314106,2021/05/29,17:01:09
37.49888482,127.13137275,2021/05/29,17:01:10
37.49885748,127.13132977,2021/05/29,17:01:11
37.49881515,127.13127851,2021/05/29,17:01:12
37.49877582,127.13123056,2021/05/29,17:01:13
37.49873844,127.13117689,2021/05/29,17:01:14
37.49868288,127.13110608,2021/05/29,17:01:15
37.49863344,127.1310433,2021/05/29,17:01:16
37.49857366,127.13098598,2021/05/29,17:01:17
37.49851944,127.13092422,2021/05/29,17:01:18
37.49847305,127.13088464,2021/05/29,17:01:19
37.4984252,127.1308085,2021/05/29,17:01:20
37.49837034,127.13074031,2021/05/29,17:01:21
37.49832027,127.13067671,2021/05/29,17:01:22
37.49826224,127.13061249,2021/05/29,17:01:23
37.49821223,127.1305594,2021/05/29,17:01:24
37.4981681,127.13050398,2021/05/29,17:01:25
37.49811968,127.13045401,2021/05/29,17:01:26
37.49807869,127.13039918,2021/05/29,17:01:27
37.49803372,127.13033356,2021/05/29,17:01:28
37.49798503,127.13026357,2021/05/29,17:01:29
37.49793095,127.13018288,2021/05/29,17:01:30
37.49787623,127.13011039,2021/05/29,17:01:31
37.49781479,127.13003089,2021/05/29,17:01:32
37.49774907,127.12995428,2021/05/29,17:01:33
37.49769151,127.12987654,2021/05/29,17:01:34
37.49762864,127.12980001,2021/05/29,17:01:35
37.49756709,127.12971915,2021/05/29,17:01:36
37.49750101,127.12964077,2021/05/29,17:01:37
37.49743784,127.12956429,2021/05/29,17:01:38
37.49737529,127.12949031,2021/05/29,17:01:39
37.49732009,127.12942233,2021/05/29,17:01:40
37.49727609,127.12937014,2021/05/29,17:01:41
37.49720727,127.12927933,2021/05/29,17:01:43
37.49717687,127.12924428,2021/05/29,17:01:44
37.49716281,127.12922384,2021/05/29,17:01:45
37.49713874,127.12920915,2021/05/29,17:01:46
37.49711719,127.12921203,2021/05/29,17:01:47
37.49707103,127.12921762,2021/05/29,17:01:48
37.4970253,127.1292604,2021/05/29,17:01:49
37.49697956,127.12931855,2021/05/29,17:01:50
37.49693327,127.12939016,2021/05/29,17:01:51
37.49688268,127.12947348,2021/05/29,17:01:52
37.49682802,127.12955919,2021/05/29,17:01:53
37.49677363,127.12964387,2021/05/29,17:01:54
37.49671731,127.12973269,2021/05/29,17:01:55
37.49665379,127.12981673,2021/05/29,17:01:56
37.49659482,127.12990369,2021/05/29,17:01:57
37.49653692,127.12998865,2021/05/29,17:01:58
37.49648221,127.13006796,2021/05/29,17:01:59
37.49642796,127.13013616,2021/05/29,17:02:00
37.49637457,127.13019716,2021/05/29,17:02:01
37.49632643,127.13025652,2021/05/29,17:02:02
37.49628602,127.13030189,2021/05/29,17:02:03
37.49625249,127.13034484,2021/05/29,17:02:04
37.49622694,127.13036548,2021/05/29,17:02:05
37.49620716,127.13038853,2021/05/29,17:02:06
37.49619475,127.13039645,2021/05/29,17:02:07
37.49618666,127.13040436,2021/05/29,17:02:08
37.49617924,127.13041351,2021/05/29,17:02:14
37.49617146,127.13042109,2021/05/29,17:02:15
37.49616087,127.13043148,2021/05/29,17:02:16
37.49614663,127.13044656,2021/05/29,17:02:17
37.4961203,127.13047886,2021/05/29,17:02:18
37.49607743,127.13054148,2021/05/29,17:02:19
37.4960218,127.13060748,2021/05/29,17:02:20
37.49595846,127.13068426,2021/05/29,17:02:21
37.49588773,127.1307655,2021/05/29,17:02:22
37.49582026,127.13085511,2021/05/29,17:02:23
37.49574672,127.13094002,2021/05/29,17:02:24
37.49567374,127.13102773,2021/05/29,17:02:25
37.49560099,127.13111751,2021/05/29,17:02:26
37.4955312,127.13120258,2021/05/29,17:02:27
37.49546417,127.13129119,2021/05/29,17:02:28
37.49538892,127.13138689,2021/05/29,17:02:29
37.49532552,127.13145682,2021/05/29,17:02:30
37.49526495,127.13152402,2021/05/29,17:02:31
37.49520861,127.13158758,2021/05/29,17:02:32
37.49515394,127.13165396,2021/05/29,17:02:33
37.49510567,127.13172183,2021/05/29,17:02:34
37.49505912,127.13178697,2021/05/29,17:02:35
37.49501231,127.13186045,2021/05/29,17:02:36
37.49495033,127.13193464,2021/05/29,17:02:37
37.49488398,127.13200264,2021/05/29,17:02:38
37.49481761,127.13207217,2021/05/29,17:02:39
